id,new_title
81,"Checkout: Select address and shipping method during checkout (EU address)"
82,"Checkout: Negative: Pay by card with 3DS authentication (US address, EU address)"
83,"Checkout: Capture order number on confirmation (Out-of-stock)"
84,"Orders: Open latest order and verify items and totals (US address)"
85,"Orders: Request cancellation for an unshipped order (3DS required, Out-of-stock)"
86,"Orders: Open shipment tracking details and verify tracking link (3DS required)"
87,"Returns: Start a return request for an eligible order (US address, Out-of-stock)"
88,"Orders: View refund-in-progress status updates (3DS required)"
89,"Admin: Perform admin action and verify changes persist (Out-of-stock)"
90,"Admin: Perform admin action and verify changes persist (3DS required)"
91,"Cart: Negative: Apply then remove promo code updates totals (US address, Out-of-stock)"
92,"Admin: Perform admin action and verify changes persist (US address)"
93,"Auth: Start registration with new email and password (EU address, 3DS required)"
94,"Auth: Sign in then sign out clears the session (US address, EU address)"
95,"Auth: Complete password reset via email and sign in with new password (EU address, US address)"
96,"Browse: Browse category, open product, return to category with state preserved (US address)"
97,"Search: Search, sort results, and open a product (3DS required)"
98,"Search: Apply multiple facets updates search results (Out-of-stock)"
99,"PDP: Add variant to cart and confirm selected variant is retained (US address)"
100,"Cart: Update cart quantity updates totals (3DS required)"
101,"Cart: Negative: Guest cart persists after login (EU address, 3DS required)"
102,"Cart: Negative: Apply then remove promo code updates totals (Discount eligible)"
103,"Checkout: Guest checkout enters email and proceeds (Out-of-stock, 3DS required)"
104,"Checkout: Select or add delivery address during checkout (US address, Discount eligible)"
105,"Checkout: Pay by card at checkout (Out-of-stock, Discount eligible)"
106,"Orders: Negative: Capture order number and verify it appears in order history (US address)"
107,"Orders: Open latest order and verify items and totals (Out-of-stock)"
108,"Orders: Cancel unshipped order and verify status updates (Out-of-stock)"
109,"Orders: Open shipment tracking details and verify tracking link (Discount eligible, 3DS required)"
110,"Returns: Create return request with reason and verify label availability (US address, 3DS required)"
111,"Orders: View refund-in-progress status updates (EU address, Discount eligible)"
112,"Admin: Perform admin action and verify changes persist (EU address, Out-of-stock)"
113,"Admin: Sign in to admin and navigate to an admin section (Discount eligible)"
114,"Cart: Negative: Apply promo code updates discount and totals (US address)"
115,"Admin: Negative: Sign in to admin and navigate to an admin section (EU address)"
116,"Auth: Register new user and verify account via email (EU address, 3DS required)"
117,"Auth: Sign in and land on authenticated area (Discount eligible)"
118,"Auth: Complete password reset via email and sign in with new password (EU address)"
119,"Browse: Negative: Browse category, open product, return to category with state preserved (US address, EU address)"
120,"Search: Refine search query and verify results update (US address)"
